date,target_date,y_t,target,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52,lag_53,lag_54,lag_55,lag_56,lag_57,lag_58,lag_59,delta_1,logret_1,sma_5,sma_10,sma_20,sma_60,std_5,std_10,std_20,std_60,ema_10,ema_20
2010-03-26,2010-06-23,3.8856,4.0587,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,4.0615,4.0814,4.0595,4.1084,4.1109,4.095,4.0794,4.0924,-0.0045999999999999375,-0.0011831581410566283,3.89246,3.8881900000000003,3.8954750000000002,3.992395,0.012372162300926273,0.012936417587614399,0.01994060869181667,0.07790177880938727,3.8909634205170427,3.907298616220263
2010-03-29,2010-06-24,3.8929,4.0877,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,4.0615,4.0814,4.0595,4.1084,4.1109,4.095,4.0794,0.007299999999999862,0.0018769691182531911,3.88832,3.8873800000000003,3.893105,3.98907,0.0068256574775238275,0.012349234794154057,0.01708445126423899,0.07781989312937092,3.8913155258775802,3.9059273194373807
2010-03-30,2010-06-25,3.8765,4.1405,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,4.0615,4.0814,4.0595,4.1084,4.1109,4.095,-0.01639999999999997,-0.004221696490774418,3.88436,3.88633,3.8903099999999995,3.9856883333333335,0.006790758426014856,0.012775918753700332,0.01485422162215717,0.07822856488450329,3.888621793899838,3.9031247175862016
2010-03-31,2010-06-28,3.8622,4.1148,3.8622,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,4.0615,4.0814,4.0595,4.1084,4.1109,-0.01429999999999998,-0.0036957153723886638,3.8814800000000007,3.8857100000000004,3.88707,3.9818083333333334,0.011135061742105405,0.013744704434841605,0.013503743925303324,0.07848349782314507,3.8838178313725944,3.899227125435135
2010-04-01,2010-06-29,3.8467,4.1649,3.8467,3.8622,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,4.0615,4.0814,4.0595,4.1084,-0.015500000000000291,-0.004021331418924579,3.87278,3.8831499999999997,3.8837,3.9774049999999996,0.016583775203509246,0.017792090939548755,0.014695237323710506,0.07852874298624721,3.8770691347593953,3.89422454206036
2010-04-02,2010-06-30,3.8515,4.1458,3.8515,3.8467,3.8622,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,4.0615,4.0814,4.0595,0.0048000000000003595,0.0012470449253199067,3.8659600000000003,3.8792100000000005,3.8820349999999997,3.9731233333333336,0.01691763576864532,0.019879660459907248,0.016277569689612068,0.07827283770390789,3.872420201166778,3.8901555380546116
2010-04-06,2010-07-01,3.8356,4.1529,3.8356,3.8515,3.8467,3.8622,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,4.0615,4.0814,-0.015900000000000247,-0.004136806513494351,3.8545000000000003,3.87141,3.879945,3.9693916666666667,0.01393082912107481,0.020156311666603446,0.019165789182816938,0.07939505083581919,3.8657256191364544,3.8849597725256007
2010-04-07,2010-07-02,3.8378,4.1448,3.8378,3.8356,3.8515,3.8467,3.8622,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,4.0615,0.002200000000000202,0.0005734094561158365,3.8467599999999997,3.86556,3.87765,3.9653316666666663,0.009650823799065518,0.02056857797713047,0.021217103949412768,0.07979096960531092,3.860648233838917,3.880468365618401
2010-04-08,2010-07-05,3.8526,4.117,3.8526,3.8378,3.8356,3.8515,3.8467,3.8622,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,4.0534,0.014799999999999702,0.003848959292415577,3.84484,3.8631599999999997,3.8765300000000003,3.9618499999999996,0.006970968368929413,0.02054055500713931,0.0219074211170596,0.08007586923245627,3.8591849185954774,3.8778142355595056
2010-04-09,2010-07-06,3.8405,4.111,3.8405,3.8526,3.8378,3.8356,3.8515,3.8467,3.8622,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,4.0339,-0.012099999999999778,-0.0031456785893209105,3.8436,3.8581900000000005,3.873525,3.958301666666667,0.007080395469224708,0.01937640059457254,0.02251321556331289,0.08065540587724007,3.8557876606690265,3.8742604988395524
2010-04-12,2010-07-07,3.8673,4.1268,3.8673,3.8405,3.8526,3.8378,3.8356,3.8515,3.8467,3.8622,3.8765,3.8929,3.8856,3.8902,3.8766,3.8963,3.9136,3.8909,3.8723,3.8684,3.887,3.901,3.8923,3.9006,3.875,3.8837,3.8774,3.8848,3.9141,3.927,3.9324,3.9403,3.9768,3.9933,4.0015,3.963,3.9711,4.0031,3.9855,3.9878,4.0168,4.0227,4.0035,4.0548,4.0595,4.0779,4.0916,4.0921,4.025,3.969,3.9849,4.0035,4.0616,4.063,4.0878,4.0969,4.0609,4.0742,4.0661,4.0143,4.019,4.0312,0.026800000000000157,0.006954022678432148,3.8467600000000006,3.8563599999999996,3.8722749999999997,3.955525,0.01183226098430103,0.01747181730677618,0.022126790887975492,0.08087245848659963,3.857880813274658,3.8735975941881664
